000000000000000001	acudir_dentista	dentista abierta?
000000000000000002	acudir_dentista	dentista
000000000000000003	acudir_dentista	dentista
000000000000000004	acudir_dentista	Puedo ir al dentista?
000000000000000005	acudir_dentista	dentista
000000000000000006	acudir_dentista	dentista
000000000000000007	acudir_dentista	Puedo ir al dentista
000000000000000008	acudir_dentista	Puedo acudir al dentista
000000000000000009	acudir_dentista	dentista
000000000000000010	acudir_hospital	Cuándo ir a hospital
000000000000000011	acudir_hospital	En fase 0 puede viajar un matrimonio para ir al hospital?
000000000000000012	acudir_hospital	menor acompañados hospital
000000000000000013	acudir_hospital	Consulta hospital
000000000000000014	acudir_hospital	Quiero ir al hospital para trabajar la tarjeta de salud.
000000000000000015	acudir_hospital	Ir al hospital
000000000000000016	acudir_hospital	Se puede ir al hospital
000000000000000017	acudir_hospital	Puedo ir a una cita al hospital con un especialista
000000000000000018	acudir_hospital	hospital
000000000000000019	acudir_hospital	hospital
000000000000000020	acudir_hospital	Visita al hospital
000000000000000021	acudir_hospital	saludo. Para ir a un hospital cuáles son las prioridades?
000000000000000022	acudir_hospital	¿Cuándo debo ir a hospital?
000000000000000023	acudir_hospital	Cuando va a ser mi operación?
000000000000000024	acudir_hospital	Asistencia a hospital
000000000000000025	acudir_hospital	hospital
000000000000000026	acudir_hospital	saludo, los hospital atienden?
000000000000000027	acudir_hospital	¿Se puede ir a una hospital?
000000000000000028	acudir_hospital	hospital
000000000000000029	acudir_hospital	Tengo una hospital
000000000000000030	acudir_hospital	Si tengo un problema ajeno al coronavirus, como romperme una pierna puedo ir al hospital?
000000000000000031	acudir_hospital	Los hospital nos están dando larga aún sabiendo que tenemos sintomas?
000000000000000032	acudir_hospital	Tengo una consulta el fecha con mi hospital en mi hospital. Tengo que ir?
000000000000000033	acudir_hospital	Puedo ir a hacerme una hospital
000000000000000034	acudir_hospital	Mi pregunta es la siguiente dentro de unas semanas me tengo que hacer una hospital para ver como va la celiaquía
000000000000000035	acudir_hospital	Me aconsejarías que fuese o mejor que lo suspenda y me den la hospital y medico mas tarde o para el año que viene.
000000000000000036	acudir_hospital	cuando ir a hospital
000000000000000037	acudir_hospital	hospital
000000000000000038	acudir_hospital	Cuando debo acudir a un hospital
000000000000000039	acudir_hospital	hospital?
000000000000000040	acudir_hospital	hospital
000000000000000041	acudir_hospital	hospital
000000000000000042	acudir_hospital	Tengo otros problemas de salud aparte del coronavirus. No hay ningún hospital abierto.
000000000000000043	acudir_hospital	hospital
000000000000000044	acudir_hospital	Tengo una hospital el fecha, debo ir?
000000000000000045	acudir_hospital	voy al hospital?
000000000000000046	acudir_hospital	Otras hospital
000000000000000047	acudir_hospital	Necesito hospital, puedo llamar directamente al hospital?
000000000000000048	acudir_hospital	Los hospital están saturados?
000000000000000049	acudir_hospital	puedo llevar a mi menor al hospital?
000000000000000050	acudir_hospital	Puedo ir al hospital para cosas que no son el coronavirus?
000000000000000051	acudir_hospital	Cuando tengo que ir al hospital?
000000000000000052	acudir_hospital	puedo ir a mi hospital?
000000000000000053	acudir_hospital	Puedo acudir a un hospital?
000000000000000054	acudir_hospital	¿Puedo pedir cita a mi hospital?
000000000000000055	acudir_hospital	Necesito hablar con mi hospital
000000000000000056	acudir_hospital	Cuando acudir al hospital?
000000000000000057	acudir_hospital	Cuando llamar al hospital?
000000000000000058	acudir_hospital	puedo ir a mi hospital?
000000000000000059	acudir_hospital	dónde me pueden hacer mis hospital?
000000000000000060	acudir_hospital	Voy al hospital?
000000000000000061	acudir_hospital	debo ir a hospital?
000000000000000062	acudir_hospital	hospital
000000000000000063	acudir_hospital	debo ir a hospital
000000000000000064	acudir_hospital	Puedo ir a hospital si me rompo la cadera
000000000000000065	acudir_hospital	Puedo pedir cita para mi hospital?
000000000000000066	acudir_hospital	saludo se puede ir a hospital con un menor?
000000000000000067	acudir_hospital	puedo pedir cita para mi hospital?
000000000000000068	acudir_hospital	Cuando tengo que ir al hospital?
000000000000000069	acudir_hospital	Cuando ir a hospital
000000000000000070	acudir_hospital	hospital
000000000000000071	acudir_hospital	¿Debo ir al hospital?
000000000000000072	acudir_hospital	¿Puedo ir al hospital?
000000000000000073	acudir_hospital	traslado al hospital
000000000000000074	acudir_hospital	hospital
000000000000000075	acudir_hospital	acudir a hospital
000000000000000076	acudir_hospital	acudir al hospital
000000000000000077	acudir_hospital	ir a hospital
000000000000000078	acudir_hospital	¿Cuándo ir a hospital?
000000000000000079	acudir_hospital	¿Debo ir al hospital?
000000000000000080	acudir_hospital	Necesito hospital para mi tratamiento
000000000000000081	acudir_hospital	Tengo una hospital el fecha, tengo que ir?
000000000000000082	acudir_hospital	Quiero cambiar mi hospital con el hospital
000000000000000083	acudir_hospital	Puedo acompañar a mi pareja al hospital?
000000000000000084	acudir_hospital	A que porcentaje debe bajar la saturación para ir al hospital
000000000000000085	afecta-viejos-jovenes	A quienes afecta
000000000000000086	afecta-viejos-jovenes	sintomas en los jóvenes
000000000000000087	afecta-viejos-jovenes	Los jóvenes se infectan
000000000000000088	afecta-viejos-jovenes	Afecta a personas jóvenes?
000000000000000089	afecta-viejos-jovenes	A quien afecta el coronavirus?
000000000000000090	afecta-viejos-jovenes	mis menor están en peligro
000000000000000091	afecta-viejos-jovenes	¿Afecta solo a las personas de edad avanzada?
000000000000000092	afecta-viejos-jovenes	¿Afecta solo a los ancianos?
000000000000000093	afecta-viejos-jovenes	¿Afecta solo a los viejos?
000000000000000094	afecta-viejos-jovenes	El nuevo coronavirus, ¿afecta solo a las personas de edad o también puede afectar a las más jóvenes?
000000000000000095	afecta-viejos-jovenes	Soy joven, ¿me puede afectar el coronavirus?
000000000000000096	afecta-viejos-jovenes	¿Afecta la COVID-coronavirus a los jóvenes?
000000000000000097	afecta-viejos-jovenes	Cuál es el efecto en jóvenes
000000000000000098	aire	saludo quiero saber si se puede transmitir por el aire?
000000000000000099	aire	aire acondicionado
000000000000000100	aire	Cuanto tiempo está el coronavirus en el aire?
000000000000000101	aire	Está el coronavirus en el aire?
000000000000000102	aire	El coronavirus  queda tiempo en suspensión?
000000000000000103	aire	El coronavirus de contagia por aire?
000000000000000104	aire	Durante cuánto tiempo permanece el coronavirus suspendido en el aire antes de morir?
000000000000000105	aire	saludo el coronavirus se puede coger por el aire
000000000000000106	aire	Si respiro aire contaminado me contagio?
000000000000000107	aire	¿Los estornudos lo contagian?
000000000000000108	aire	aire coronavirus
000000000000000109	aire	¿Por qué mantener una buena higiene de las vías respiratorias?
000000000000000110	aire	¿Por qué debo cuidar las vías respiratorias?
000000000000000111	aire	¿Son importantes las vías respiratorias?
000000000000000112	aire	¿Qué repercusión tienen las vías respiratorias?
000000000000000113	aire	¿afecta el coronavirus a las vías respiratorias?
000000000000000114	aire	Se contagia por el aire?
000000000000000115	aire	aire coronavirus
000000000000000116	aire	el coronavirus se transmite por aire
000000000000000117	aire	El coronavirus se contagia por aire?
000000000000000118	aire	¿Se contagia por el aire?
000000000000000119	aire	¿Puedo contagiarme por el aire?
000000000000000120	aire	¿Se transmite por el aire?
000000000000000121	aire	¿Puede transmitirse a través del aire el coronavirus causante de la COVID-coronavirus?
000000000000000122	aislamiento_casa	En caso de vivir solo?
